exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1749135414269957,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668453801000,SEGBC5ed7321f0c5893702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,334.4482,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:02:51
1749200533723137,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668454006000,SEGBC5ed7333e1bb873702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,13825.6641,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:15
1749200538834945,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668454006000,SEGBC5ed7333e1bb873702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,29943.6767,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:15
1749327196985345,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668454450000,SEGBC5ed7345d29d683702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,14056.1122,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:03:38
1749519600588801,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455127000,SEGBC5ed7369b45a873702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,46968.9383,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:04:53
1749519619201025,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455127000,SEGBC5ed7369b45a873702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,17184.2846,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:04:53
1749519619201028,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455127000,SEGBC5ed7369b45abc3702cf33c8a169b70e1bda,SELL,LIMIT_MAKER,2.99E-8,149481.8286,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:04:53
1749612100720641,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455399000,BEGBC5ed737ecdfb5a3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,2.98E-8,20633.2343,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:03:31
1749612129687553,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455399000,BEGBC5ed737ecdfb5a3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,2.98E-8,20407.7048,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:03:31
1749612145678337,conf_pure_mm_3.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668455399000,BEGBC5ed737ecdfb5a3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,2.98E-8,20407.7048,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:03:31
