exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1789918644410372,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674348000,BEGBC5eda67cd158793702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,23927.6662,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:02:30
1789918647687169,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674348000,BEGBC5eda67cd158793702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,11737.2026,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:02:30
1789923903150081,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674410000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,5870.951,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:00:31
1789923904854017,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674411000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,733.869,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:00:32
1789923905640449,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674411000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,643.4221,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:00:32
1789928798689285,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674466000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,331.6707,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:27
1789929859323905,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674477000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,38844.3113,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:38
1789930261321729,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668674481000,BEGBC5eda6879b2fe43702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.02E-8,38844.3113,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:42
1791149100767233,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668687791000,BEGBC5eda9a5f36a1e3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.1E-8,434986.9984,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:00:18
1791154303801345,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668687851000,BEGBC5eda9a5f36a1e3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.1E-8,38844.3113,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:18
1791154304456705,conf_pure_mm_4.yml,pure_market_making,kucoin,EDG-BTC,EDG,BTC,1668687852000,BEGBC5eda9a5f36a1e3702cf33c8a169b70e1bda,BUY,LIMIT_MAKER,3.1E-8,6674.4477,1,"{'fee_type': 'AddedToCost', 'percent': '0.0018', 'percent_token': None, 'flat_fees': []}",NIL,00:01:19
