exchange_trade_id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,leverage,trade_fee,position,age
1395688482805764,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667376758000,SEGUT5ec78675e110f691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000719,193419.79,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
1395688787154945,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667376760000,SEGUT5ec78675e110f691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000719,27593.0096,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:02
1395688787154954,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667376760000,SEGUT5ec78675e1135691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000723,82164.0365,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:02
1395707640158209,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667376821000,BEGUT5ec786b1f5da8691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000721,1396.235,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:00
1395778342623233,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667377037000,BEGUT5ec786b1f5da8691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000721,212.6889,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:03:36
1395814384670721,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667377151000,SEGUT5ec786b1f5ee1691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000725,13812.1546,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:05:30
1396339737237505,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667378903000,BEGUT5ec78d696f8bf691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000723,23086.8084,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:39
1397275091933185,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667381642000,BEGUT5ec7989b39d86691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000724,382.7215,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:00:13
1397321532708865,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667381755000,BEGUT5ec7989b39d86691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000724,4966.5409,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:02:06
1397321576749057,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667381755000,BEGUT5ec7989b39d86691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000724,3564.2159,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:02:06
1397321666140161,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667381755000,BEGUT5ec7989b39d86691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.000724,5202.914,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:02:06
1397661384316929,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667382979000,SEGUT5ec79d158ae37691931eb59b8689ef8aa19,SELL,LIMIT_MAKER,0.000724,13831.2586,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:02:28
1397703383586826,conf_pure_mm_1.yml,pure_market_making,kucoin,EDG-USDT,EDG,USDT,1667383115000,BEGUT5ec79d158ad8f691931eb59b8689ef8aa19,BUY,LIMIT_MAKER,0.00072,128774.7824,1,"{'fee_type': 'AddedToCost', 'percent': '0.002', 'percent_token': None, 'flat_fees': []}",NIL,00:04:44
